Iteration,Date,Category,Module,Change Title,Description,File(s) Modified,Lines / Location,Use Cases,Status,Notes
1.0,2026-04-09,Initial Build,State Management,Global state object,"Central reactive state: step, source, uploaded image, selections, signals, decision, orientation, issuer, bankTemplate, embosserReady",script.js,Lines 6–24,"UC: All modules read/write state for cross-module communication",Committed (ace3d8e),Single mutable object pattern
1.1,2026-04-09,Initial Build,Compliance,Restricted keyword lists,"Blacklists for celebrities (13), brands (10), political, religious, weapons, unsafe content + REWRITE_MAP for safe alternatives",script.js,Lines 26–43,"UC: Prompt contains 'iron man' → rewritten to 'armored warrior'. UC: Prompt with 'nike' → rewritten to 'athletic swoosh design'",Committed (ace3d8e),Six categories with synonym-based rewrites
1.2,2026-04-09,Initial Build,Embosser,Bank registry & template system,"AU BANK template with SVG mock card front/back, chip cutout, brand plate, name/number plates, magstripe, signature strip, CVV regions",script.js,Lines 45–160,"UC: Card art must preserve bank's embossable registration zones (chip, brand, name/number plates). UC: Different issuers can have different templates",Committed (ace3d8e),"Functions: buildAUBankFrontMock(), buildAUBankBackMock(), svgToDataURL(), fetchBankCardTemplate()"
1.3,2026-04-09,Initial Build,Embosser,Embosser artwork composition,"Canvas-based cover-fit composition: layers AI artwork onto bank template preserving DPI/dimensions, adds imperceptible registration marks",script.js,Lines 174–319,"UC: AI image is composited onto bank card template at correct dimensions for physical embossing. UC: Orientation-aware — horizontal vs vertical cards compose differently",Committed (ace3d8e),"Functions: loadImageEl(), drawImageCover(), composeEmbosserReadyArtwork(), prepareEmbosserOutput()"
1.4,2026-04-09,Initial Build,AI Providers,Provider configuration,"5 providers: Pollinations (free), Gemini (image-to-image), DALL-E 3, Grok, Stability AI. Metadata: label, needsKey, keyHint",script.js,Lines 321–351,"UC: Ops team selects which AI model generates customer artwork. UC: Pollinations works without API key for demos",Committed (ace3d8e),Only Gemini supports image-to-image editing
1.5,2026-04-09,Initial Build,Settings,localStorage settings store,"Persist provider selection and API keys across browser sessions",script.js,Lines 353–371,"UC: Ops configures Gemini API key → key persists on page reload. UC: Switching providers remembers previously entered keys",Committed (ace3d8e),"Key: 'hyperface.aiProvider'. Functions: loadSettings(), saveSettings()"
1.6,2026-04-09,Initial Build,Prompts,Full prompt builder,"Constructs generation prompt from style/mood/color/background selections + free-text. Adds 'luxury credit card art' and '4k detail' instructions",script.js,Lines 373–389,"UC: User selects watercolor+calm+warm+mountains → prompt combines all into coherent generation instruction",Committed (ace3d8e),Function: buildFullPrompt()
1.7,2026-04-09,Initial Build,Prompts,Edit prompt builder,"Image-to-image prompt for Gemini: aggressive wording to force heavy restyling while maintaining subject pose",script.js,Lines 394–415,"UC: User uploads selfie → edit prompt instructs Gemini to restyle as 'watercolor calm warm' while keeping face",Committed (ace3d8e),Function: buildEditPrompt()
1.8,2026-04-09,Initial Build,AI Providers,Image resizing utility,"Downsize uploaded images before API transmission via canvas. Configurable max dimension and JPEG quality",script.js,Lines 419–447,"UC: User uploads 4000x3000 photo → resized to 1024px max dimension at 0.9 quality before sending to Gemini",Committed (ace3d8e),"Function: resizeImageDataURL(dataURL, maxDim, quality)"
1.9,2026-04-09,Initial Build,AI Providers,Pollinations.ai provider,"Free text-to-image API. Supports width/height for orientation, seed for reproducibility, no auth required",script.js,Lines 451–466,"UC: Demo/sandbox usage without API keys. Vertical: 540x864, Horizontal: 864x540",Committed (ace3d8e),Function: generatePollinations()
1.10,2026-04-09,Initial Build,AI Providers,Google Gemini provider,"Gemini image generation with 3 model fallback candidates. Supports BOTH text-to-image AND image-to-image (edit). Aspect ratio: 9:16 / 16:9",script.js,Lines 467–534,"UC: User uploads photo → Gemini edits it in selected style. UC: Model 1 fails → falls back to model 2 → model 3. UC: Safety block returns text instead of image → surfaced as error",Committed (ace3d8e),"Models: gemini-2.5-flash-image, gemini-3.1-flash-image-preview, gemini-2.5-flash-image-preview"
1.11,2026-04-09,Initial Build,AI Providers,DALL-E 3 provider,"OpenAI DALL-E 3 text-to-image. Orientation via size param: 1024x1792 (vertical) / 1792x1024 (horizontal)",script.js,Lines 535–558,"UC: Ops selects DALL-E → customer gets OpenAI-quality generations",Committed (ace3d8e),Function: generateDalle()
1.12,2026-04-09,Initial Build,AI Providers,xAI Grok provider,"Grok-2-image text-to-image. No aspect ratio support — orientation accepted for parity but ignored",script.js,Lines 559–584,"UC: Ops selects Grok → result may need cropping since aspect ratio not controllable",Committed (ace3d8e),Function: generateGrok()
1.13,2026-04-09,Initial Build,AI Providers,Stability AI provider,"Stable Diffusion 3 via FormData API. Aspect ratio: 9:16 / 16:9. Returns blob → objectURL",script.js,Lines 585–605,"UC: Ops selects Stability → high-quality SD3 generations with correct orientation",Committed (ace3d8e),Function: generateStability()
1.14,2026-04-09,Initial Build,AI Providers,Provider dispatcher,"Routes prompt+image+orientation to selected provider. Validates API key requirement before calling",script.js,Lines 606–625,"UC: callProvider() routes to correct provider based on settings. UC: Provider needs key but none configured → clear error message",Committed (ace3d8e),"Function: callProvider(prompt, inputImage, orientation)"
1.15,2026-04-09,Initial Build,Image Generation,3-variation parallel generation,"Fires N=3 parallel provider calls. Tolerates partial failures (Promise.all with catch). Each variation carries per-orientation cache",script.js,Lines 627–760,"UC: 2 of 3 variations succeed → user sees 2 good + 1 failed. UC: All 3 fail → full error banner with per-variation messages. UC: Horizontal generated first → vertical slot stays null until toggled",Committed (ace3d8e),"Function: generateFinalImage(). VARIATION_COUNT=3"
1.16,2026-04-09,Initial Build,Orientation,Lazy orientation regeneration,"On cache miss when toggling orientation, re-calls provider with same prompt at new orientation. Shows re-rendering spinner",script.js,Lines 761–796,"UC: User generates horizontal → toggles to vertical → cache miss → spinner → regenerates at 9:16 → caches result. UC: Toggle back to horizontal → cache hit → instant swap",Committed (ace3d8e),Function: ensureCurrentVariationOrientation()
1.17,2026-04-09,Initial Build,Variations,Variation display & selection,"Render 3 thumbnail cards with click selection. Shows orientation-specific cached image. Updates live preview + embosser output on selection",script.js,Lines 798–851,"UC: Customer clicks variation 2 → preview updates → embosser output recalculated. UC: Failed variation shows error state in thumbnail",Committed (ace3d8e),"Functions: showVariation(index), renderVariations()"
1.18,2026-04-09,Initial Build,UI,Active provider banner,"Shows current provider name + key status in customer sidebar",script.js,Lines 853–860,"UC: Provider banner shows 'Google Gemini · Nano Banana ✓' or 'DALL-E 3 (key missing)'",Committed (ace3d8e),Function: refreshActiveProviderBanner()
1.19,2026-04-09,Initial Build,Navigation,Tab navigation system,"Switch between Customer Journey, Ops Dashboard, Architecture views. Auto-renders ops queue on switch",script.js,Lines 866–879,"UC: Click 'Ops Dashboard' tab → ops view shows, customer view hides. UC: Click 'Customer Journey' → refreshes provider banner",Committed (ace3d8e),3 tabs: customer / ops / architecture
1.20,2026-04-09,Initial Build,Navigation,Step wizard (1–4),"4-step wizard: Source → Customize → AI Review → Result. Prev/Next buttons with validation gating",script.js,Lines 881–914,"UC: Step 1 → must select source before Continue. UC: Step 2 → must select style. UC: Step 3 → auto-runs pipeline. UC: Step 4 → button says 'Start over'",Committed (ace3d8e),"Functions: gotoStep(n), validateNext()"
1.21,2026-04-09,Initial Build,Customer UI,Source picker (upload vs generate),"Two cards: Upload a photo / Generate with AI. Upload shows drop zone, generate auto-advances to step 2",script.js,Lines 916–941,"UC: Click Upload → file drop zone appears. UC: Click Generate → upload zone hides. UC: Switch back to Upload → previously uploaded photo restores on preview",Committed (ace3d8e),Sets state.source = 'upload' | 'generate'
1.22,2026-04-09,Initial Build,Customer UI,File upload & drag-drop,"Accept image uploads via click-to-browse or drag-drop. Validates type/size. Shows file metadata (name, size, dimensions)",script.js,Lines 943–1012,"UC: User drops JPG → validates → shows '2.4 MB · 3024 x 4032' metadata. UC: User drops PDF → rejected. UC: User drops 20MB file → rejected",Committed (ace3d8e),"Functions: handleFile(file), showUploadMeta()"
1.23,2026-04-09,Initial Build,Customer UI,Chip selection system,"4 chip-row groups (style/mood/color/background). Single-select per group. Updates state.selections[group]",script.js,Lines 992–1006,"UC: Click 'Cyberpunk' → style selected. Click 'Anime' → Cyberpunk deselected, Anime selected. UC: Each selection updates live preview",Committed (ace3d8e),Chip rows delegate click events
1.24,2026-04-09,Initial Build,Customer UI,Free-text prompt input,"Optional text field under 'Advanced' details accordion. Stored in state.freeText, updates preview",script.js,Lines 1008–1011,"UC: User types 'cinematic hero under neon lights' → preview prompt updates → sanitized by L0 during pipeline",Committed (ace3d8e),Hidden under <details> accordion
1.25,2026-04-09,Initial Build,Customer UI,Live preview rendering,"Real-time card preview with CSS art classes + prompt text. Clears AI image when selections change to force regen",script.js,Lines 1013–1049,"UC: Select 'watercolor' → card gets art-watercolor CSS class for placeholder visual. UC: Change mood → AI image clears so next pipeline run generates fresh",Committed (ace3d8e),Function: updatePreview()
1.26,2026-04-09,Initial Build,Compliance,Prompt sanitization (L0),"Scan prompt for restricted keywords, rewrite violations, compute risk score (40–70 points per violation category)",script.js,Lines 1051–1077,"UC: Prompt 'iron man style' → rewritten to 'armored warrior style', promptRisk=40. UC: Prompt 'nike logo' → rewritten, risk=50. UC: Clean prompt → risk=0",Committed (ace3d8e),"Function: sanitizePrompt(raw). Returns {sanitized, riskScore, flagsHit}"
1.27,2026-04-09,Initial Build,Compliance,6-layer pipeline DOM & animation,"Build pipeline UI for layers L0–L5. Each layer animates through pending→running→pass/warn/fail states with configurable delay",script.js,Lines 1079–1222,"UC: User reaches step 3 → 6 layers animate sequentially → each shows pass/warn/fail → final result computed. Total animation ~3.8s hides AI generation latency",Committed (ace3d8e),"Functions: buildPipelineDom(), runPipeline(), runLayer()"
1.28,2026-04-09,Initial Build,Compliance,L1 Upload guardrails,"File integrity, resolution (2048x1290), DPI (600), blur detection, steganography check (all simulated)",script.js,Lines 1131–1138,"UC: Layer passes if file OK — simulated quality checks always pass in prototype",Committed (ace3d8e),Simulated signals
1.29,2026-04-09,Initial Build,Compliance,L2 Image analysis,"Multi-model vision: NSFW %, face count, celebrity confidence, logo detection, OCR chars, CLIP similarity (simulated with random noise)",script.js,Lines 1140–1160,"UC: Generates realistic-looking signal values so ops dashboard has data to display",Committed (ace3d8e),Randomized but deterministic-ish values
1.30,2026-04-09,Initial Build,Compliance,L3 Risk scoring engine,"Weighted aggregation: nsfw(0.30) + celebrity(0.20) + promptRisk(0.15) + logo(0.10) + text(0.10) + objects(0.10) + noise(0.05)",script.js,Lines 1162–1176,"UC: High NSFW → pushes risk score up. UC: Celebrity + prompt flags → combined risk. Outputs riskScore 0–100 and safetyScore",Committed (ace3d8e),Hard-block thresholds override formula
1.31,2026-04-09,Initial Build,Compliance,L4 Auto approval routing,"Decision based on risk: AUTO_APPROVE (<20), QUICK_REVIEW (20–39), MANUAL_REVIEW (40–69), REJECTED (70+)",script.js,Lines 1178–1186,"UC: Risk 15 → auto-approved, green card. UC: Risk 35 → quick review, yellow card. UC: Risk 75 → rejected, red card with block reason",Committed (ace3d8e),Sets state.decision with code/label/tone/icon/reason
1.32,2026-04-09,Initial Build,Compliance,L5 Fraud detection,"Behavioral signals: userRisk float + pHash duplicate detection (simulated)",script.js,Lines 1188–1193,"UC: Monitors submission velocity and perceptual hash for bypass detection",Committed (ace3d8e),Simulated in prototype
1.33,2026-04-09,Initial Build,Customer UI,Result rendering,"Display decision card (pass/warn/fail), risk meter bar, 9-signal grid, variation thumbnails. Enable/disable submit based on decision",script.js,Lines 1224–1278,"UC: Auto-approved → green decision card + submit enabled. UC: Rejected → red card + submit disabled with explanation. UC: Manual review → submit enabled with warning",Committed (ace3d8e),Function: renderResult()
1.34,2026-04-09,Initial Build,Customer UI,Reset function,"Clear all state fields + UI elements and return to step 1",script.js,Lines 1285–1326,"UC: User finishes flow → clicks 'Start over' → everything resets to initial state",Committed (ace3d8e),Function: resetAll()
1.35,2026-04-09,Initial Build,Ops Dashboard,Queue data structure,"In-memory array with 12 pre-populated demo submissions. Each has id, cardholder, risk, safety, confidence, style, mood, flags, signals, art, imageUrl, orientation",script.js,Lines 1328–1385,"UC: Ops dashboard shows realistic queue on first load without requiring customer submissions",Committed (ace3d8e),Demo data provides realistic showcase
1.36,2026-04-09,Initial Build,Ops Dashboard,Customer ID generation,"Generate tracking IDs in format CUST-XXXX (range 8000–9999)",script.js,Lines 1387–1389,"UC: Each submission gets unique tracking ID shown in ops queue and confirmation",Committed (ace3d8e),Function: generateCustomerId()
1.37,2026-04-09,Initial Build,Ops Dashboard,Queue management,"Push to front of queue, remove by ID, update queue counter stat",script.js,Lines 1398–1407,"UC: New submission → appears at top of ops queue. UC: Approve/reject → removed from queue",Committed (ace3d8e),"Functions: pushToOpsQueue(), removeFromQueue(), updateQueueStat()"
1.38,2026-04-09,Initial Build,Ops Dashboard,Queue rendering,"Grid layout with risk-colored cards showing: thumbnail, name, ID, time, risk/safety/confidence scores, risk bar, cohort approval %, flags, signal breakdown toggle, approve/reject buttons",script.js,Lines 1420–1525,"UC: Ops sees all pending submissions at a glance. UC: Click 'View signal breakdown' → expands detailed signals. UC: Vertical submissions render as portrait thumbnails",Committed (ace3d8e),Function: renderOps()
1.39,2026-04-09,Initial Build,Ops Dashboard,Signal row formatting,"Format signal data into labeled rows: Prompt Risk, NSFW, Faces, Celebrity, Logo, OCR, CLIP, User Risk",script.js,Lines 1527–1542,"UC: Ops expands signal breakdown → sees exact scores for each moderation signal",Committed (ace3d8e),Function: renderSignalRows()
1.40,2026-04-09,Initial Build,Ops Dashboard,Approve action,"Move item to approved history, remove from queue, show success toast",script.js,Lines 1544–1554,"UC: Ops clicks Approve → item moves to history → toast confirms → queue refreshes",Committed (ace3d8e),Function: approveItem(id)
1.41,2026-04-09,Initial Build,Ops Dashboard,Reject action with modal,"Rejection dialog with 5 preset reasons + free-text. Validates non-empty reason before rejecting",script.js,"Lines 1556–1566, 1970–2031","UC: Ops clicks Reject → modal with presets (Quality, Prohibited, Celebrity, Brand, Text) → select or type reason → confirm. UC: Empty reason → validation blocks",Committed (ace3d8e),"Functions: rejectItem(), openRejectModal()"
1.42,2026-04-09,Initial Build,Ops Dashboard,Decision history store,"In-memory approved[] and rejected[] arrays with timestamps",script.js,Lines 1568–1600,"UC: All approve/reject actions create audit trail with timestamp",Committed (ace3d8e),"Functions: pushToHistory(), refreshHistoryCounts()"
1.43,2026-04-09,Initial Build,Ops Dashboard,History panel,"Toggle panel with approved/rejected tabs, grid/list view toggle, item cards with decision tags and rejection reasons",script.js,Lines 1602–1670,"UC: Ops clicks History → panel opens showing approved cards. UC: Switch to Rejected tab → shows rejected cards with reasons. UC: Toggle grid/list view",Committed (ace3d8e),"Functions: openHistoryPanel(), closeHistoryPanel(), renderHistory()"
1.44,2026-04-09,Initial Build,Ops Dashboard,Provider settings UI,"Provider dropdown, API key input with show/hide toggle, Save and Test Connection buttons",script.js,Lines 1688–1752,"UC: Ops selects Gemini → API key field appears. UC: Enters key → Save → persisted to localStorage. UC: Test Connection → validates key with provider",Committed (ace3d8e),Function: hydrateSettingsUI()
1.45,2026-04-09,Initial Build,Ops Dashboard,Provider status badge,"Shows provider readiness: ok (configured), warn (key required), fail (test failed)",script.js,Lines 1754–1781,"UC: No key configured → yellow 'Key required' badge. UC: Key saved → green 'Configured' badge",Committed (ace3d8e),"Functions: refreshStatusBadge(), showSettingsResult()"
1.46,2026-04-09,Initial Build,Customer UI,Cardholder name input,"Text input for card name. Updates live preview in uppercase. Maxlength 22",script.js,Lines 1783–1790,"UC: User types 'Nishant Dash' → card preview shows 'NISHANT DASH'",Committed (ace3d8e),Bound to #cardNameInput → #cardName
1.47,2026-04-09,Initial Build,UI,Modal system,"Generic reusable dialog: title, subtitle, body HTML, action buttons. Closes on backdrop click / Escape / button handler",script.js,Lines 1792–1828,"UC: Confirmation dialogs, rejection reason entry, submission preview all use same modal",Committed (ace3d8e),"Functions: openModal(), closeModal()"
1.48,2026-04-09,Initial Build,UI,Toast notification system,"Transient auto-dismiss notifications with ok/fail/info tones. Slides out after configurable duration (default 3.2s)",script.js,Lines 1830–1846,"UC: Approve → green toast '✓ Approved'. UC: Error → red toast '✕ Failed'. UC: Only one toast visible at a time",Committed (ace3d8e),"Function: showToast(tone, message, duration)"
1.49,2026-04-09,Initial Build,Customer UI,Submit for approval flow,"Validation → confirmation modal with card preview → submitToOps(). Blocks: no variation, rejected decision, no name",script.js,Lines 1848–1956,"UC: Click Submit → modal shows card preview + risk + decision. UC: No name entered → toast 'enter cardholder name'. UC: Rejected design → toast 'blocked by moderation'",Committed (ace3d8e),Two-step: validate then confirm modal
1.50,2026-04-09,Initial Build,Customer UI,Regenerate button,"Re-runs generateFinalImage() for fresh 3 variations. Shows loading spinners during generation",script.js,Lines 2033–2048,"UC: Customer doesn't like variations → clicks Regenerate → 3 new variations generated",Committed (ace3d8e),Visible on Step 4 result panel
1.51,2026-04-09,Initial Build,Customer UI,Card orientation toggle,"Horizontal/vertical toggle buttons. Updates card preview CSS class + lazy-regenerates variation for new orientation",script.js,Lines 2073–2088,"UC: Customer toggles to Vertical → card preview rotates → if no cached vertical image → regenerates at portrait dimensions",Committed (ace3d8e),Uses ensureCurrentVariationOrientation()
1.52,2026-04-09,Initial Build,UI,App initialization,"Bootstrap: build pipeline DOM, render preview, refresh provider banner, set queue stats, go to step 1",script.js,Lines 2090–2098,"UC: Page loads → app is ready in initial state at step 1",Committed (ace3d8e),Called on script load
1.53,2026-04-09,Initial Build,HTML,Customer journey view,"4-step wizard: Source (upload/generate), Customize (chips + free text), AI Review (pipeline animation), Result (variations + risk + submit). Live preview sidebar with orientation toggle, name input, prompt preview",index.html,Lines 34–274,"UC: Full customer card design flow from source selection through AI generation to submission",Committed (ace3d8e),Step panels toggle via JS
1.54,2026-04-09,Initial Build,HTML,Ops dashboard view,"Header with queue stats, History CTA with counters, AI Provider settings card (provider select + API key + test/save), ops queue grid, history panel with tabs + view toggle",index.html,Lines 279–389,"UC: Ops reviews submissions, configures AI provider, browses decision history",Committed (ace3d8e),Settings persist via localStorage
1.55,2026-04-09,Initial Build,HTML,Architecture view,"Visual documentation of 7 moderation layers (L0–L6) with descriptions and implementation details",index.html,Lines 393–470,"UC: Stakeholders view the compliance architecture without reading code",Committed (ace3d8e),L6 = Continuous Learning (read-only first 3–6 months)
1.56,2026-04-09,Initial Build,HTML,Generic modal + script link,"Reusable modal backdrop with title/subtitle/body/actions slots. Script tag loads script.js",index.html,Lines 472–488,"UC: All dialogs (confirm submit, reject reason, etc.) use this single modal shell",Committed (ace3d8e),Modal content populated by JS
1.57,2026-04-09,Initial Build,CSS,Complete stylesheet,"Full dark-theme design system: topbar, tabs, hero, step tracker, cards, chips, preview mock, pipeline layers, ops grid, history panel, modals, toasts, architecture flow, responsive layout",styles.css,All 1768 lines,"UC: Polished sandbox-ready UI matching Hyperface brand. Dark theme with gradient accents",Committed (ace3d8e),CSS custom properties for theming
2.0,2026-04-09,Housekeeping,Repo,Demo file placeholder,"Added empty demo.txt",demo.txt,All,Repository initialization,Committed (936d38f),—
3.0,2026-04-10,Bug Fix,Orientation,Vertical card image not passing uploaded image,"ensureCurrentVariationOrientation() hardcoded inputImage=null. In edit mode (uploaded photo + Gemini) vertical regeneration fell back to text-to-image instead of image-to-image",script.js,Lines 784–790,"UC: User uploads photo → Gemini selected → generates horizontal → toggles vertical → BEFORE: vertical used only prompt (wrong). AFTER: vertical passes uploaded image for image-to-image edit (correct)",Done,Calls resizeImageDataURL() to prep uploaded image before callProvider()
4.0,2026-04-10,Feature,Tracking,Regeneration counter — state setup,"Added regenCount:0 and hasGenerated:false to state object. Both reset in resetAll()",script.js,"Lines 19–20 (state), Lines 1326–1328 (resetAll)","UC: Track how many times customer regenerated before final submission. UC: New design session starts at 0",Done,hasGenerated flag ensures first generation counts as 0 regens
4.1,2026-04-10,Feature,Tracking,Regeneration counter — auto-increment in generateFinalImage,"Moved tracking into generateFinalImage() so counter increments on BOTH Regenerate button clicks AND re-generations from prompt/selection changes",script.js,Lines 639–644,"UC1: Click Regenerate → count +1. UC2: Go back to Step 2, change prompt, continue to Step 3 → count +1. UC3: First-ever generation → count stays 0",Done,Single tracking point covers all generation triggers
4.2,2026-04-10,Feature,Customer UI,Regeneration counter — badge display,"Added counter badge element next to Regenerate button. Shows 'N regeneration(s)' with correct pluralization. Hidden when count=0",index.html; styles.css; script.js,"index.html Lines 161–164; styles.css Lines 649–655; script.js Lines 2049–2058","UC: Customer sees '1 regeneration' after first regen. UC: Shows '3 regenerations' after third. UC: Hidden on first generation (count=0)",Done,"HTML: #regenCounter span. CSS: .regen-counter pill badge. JS: updateRegenCounter()"
4.3,2026-04-10,Feature,Ops Dashboard,Regeneration counter — submission & ops display,"regenCount included in submission object. Rendered as 'Regeneration attempts: N' row in ops queue cards. Shown in history panel metadata as 'Regens: N'",script.js; styles.css,"script.js Lines 1520–1525 (renderOps), Line 1699 (renderHistory), Line 1968 (submitToOps); styles.css Lines 948–955 (.ops-regen-count)","UC: Ops reviewer sees regeneration count per submission — high counts may signal customer struggled with compliance. UC: History entries show regen count for audit trail",Done,Null-check for backward compat with pre-existing demo items
5.0,2026-04-10,UX,Submission,Post-submission auto-navigate to Step 1,"After Confirm & Submit: queues submission, shows toast with tracking ID, auto-calls resetAll() which navigates to Step 1 (Choose your starting point)",script.js,Lines 1974–1976,"UC: Customer clicks Confirm & Submit → submission queued → toast 'Submitted for review · Tracking ID: CUST-XXXX' → auto-navigates to start. UC: Cancel in confirmation modal → stays on generated image page",Done,"Confirmation modal (Cancel / Confirm & Submit) still shown before submission. Only after confirm does auto-reset happen"
6.0,2026-04-10,UX,Customer UI,Step 2 — non-mandatory chip selections,"Changed validateNext() for Step 2: Continue CTA enabled if ANY single chip is selected (from any of 4 groups) OR free-text prompt has content. Previously REQUIRED style chip",script.js,Lines 921–926,"UC1: Only prompt typed (no chips) → Continue enabled. UC2: Only mood chip selected (no style) → Continue enabled. UC3: Only background selected → Continue enabled. UC4: Only color palette selected → Continue enabled. UC5: Nothing selected + no prompt → Continue disabled",Done,Checks all four groups: style || mood || color || background || freeText
6.1,2026-04-10,UX,Customer UI,Step 2 — chip toggle/deselect,"Clicking an already-active chip now deselects it and sets state.selections[group]=null. Previously chips were select-only with no deselect",script.js,Lines 1020–1032,"UC1: Click 'Minimal' → activates. UC2: Click 'Minimal' again → deselects. UC3: Click 'Minimal' then 'Abstract' → only Abstract active. UC4: Deselect all chips but have prompt → Continue still enabled. UC5: Deselect last chip with no prompt → Continue disabled",Done,Toggle check via classList.contains('active')
6.2,2026-04-10,UX,Customer UI,Free-text prompt enables Continue CTA,"Added validateNext() call to freeText input handler so typing a prompt alone enables Continue on Step 2",script.js,Line 1037,"UC: Customer skips all pre-screened templates → types free-text prompt → Continue CTA becomes enabled immediately as text is entered. UC: Customer clears prompt with no chips → Continue disables",Done,Previously freeText handler only called updatePreview() without validateNext()
